query size,batch_size,model,framework,data loading time,sklearn loading time,dense_conversion,inference time,result writing time,conversion time,total framework time
1,1,randomforest,NvidiaFILGPU,243.61777305603027,184.0653419494629,2.882194757461548,45308.48979949951,2.7036666870117188,6713.760137557983,52025.007247924805
10,10,randomforest,NvidiaFILGPU,242.74873733520508,38.4061336517334,1.2947516441345215,63842.30637550354,2.7494430541992188,2467.557430267334,66312.6699924469
100,100,randomforest,NvidiaFILGPU,243.2084083557129,38.58375549316406,1.3101253509521484,63977.766036987305,2.625703811645508,2451.7736434936523,66432.22403526306
1000,1000,randomforest,NvidiaFILGPU,243.53885650634766,37.37807273864746,1.3038227558135986,66516.26753807068,2.6230812072753906,2449.8329162597656,68968.78576278687
1,1,xgboost,NvidiaFILGPU,243.9095973968506,346.8790054321289,5.519219636917114,26493.322134017944,2.7518272399902344,2705.1539421081543,29201.292037963867
10,10,xgboost,NvidiaFILGPU,243.64519119262695,362.4846935272217,1.34088134765625,26524.162769317627,2.7251243591308594,2656.219959259033,29183.165073394775
100,100,xgboost,NvidiaFILGPU,243.32094192504883,348.299503326416,1.3347599506378174,25922.33657836914,2.6786327362060547,2624.026298522949,28549.111127853394
1000,1000,xgboost,NvidiaFILGPU,244.00019645690918,353.0561923980713,1.3060898780822754,27372.36785888672,2.6702880859375,2618.1318759918213,29993.24321746826
1,1,lightgbm,NvidiaFILGPU,243.69263648986816,1866.2877082824707,2.465074062347412,45212.42427825928,2.755880355834961,2659.764528274536,47875.00071525574
10,10,lightgbm,NvidiaFILGPU,242.4488067626953,1123.2397556304932,1.2960455417633057,63523.82302284241,2.7976036071777344,2533.5068702697754,66060.18948554993
100,100,lightgbm,NvidiaFILGPU,242.72751808166504,1111.0615730285645,1.3117804527282715,64167.56820678711,2.861499786376953,2496.258020401001,66666.74900054932
1000,1000,lightgbm,NvidiaFILGPU,243.52669715881348,1115.4804229736328,1.2958431243896484,66532.8209400177,2.7267932891845703,2518.8422203063965,69054.45265769958
